starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 18 23:36:51 2019	1571441811	0	12	12	12
Fri Oct 18 23:36:51 2019	1571441811	0	12	12	12
Fri Oct 18 23:36:51 2019	1571441811	0	12	13	12
Fri Oct 18 23:36:51 2019	1571441811	0	12	13	12
Fri Oct 18 23:36:51 2019	1571441811	0	13	13	13
Fri Oct 18 23:36:51 2019	1571441811	0	13	14	13
Fri Oct 18 23:36:51 2019	1571441811	0	14	14	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	14	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	14	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	14	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	14	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	15	14
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	14
Fri Oct 18 23:36:51 2019	1571441811	0	14	15	14
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	15	15
Fri Oct 18 23:36:51 2019	1571441811	0	15	16	15
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	1	15	16	15
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	1	15	16	15
Fri Oct 18 23:36:51 2019	1571441811	0	16	16	16
Fri Oct 18 23:36:51 2019	1571441811	1	15	16	15
Fri Oct 18 23:36:51 2019	1571441811	0	16	17	16
Fri Oct 18 23:36:51 2019	1571441811	1	16	17	16
Fri Oct 18 23:36:51 2019	1571441811	1	16	17	16
Fri Oct 18 23:36:51 2019	1571441811	1	17	17	17
Fri Oct 18 23:36:51 2019	1571441811	1	17	18	17
Fri Oct 18 23:36:51 2019	1571441811	1	17	18	17
Fri Oct 18 23:36:51 2019	1571441811	1	17	18	17
Fri Oct 18 23:36:51 2019	1571441811	1	18	18	18
Fri Oct 18 23:36:51 2019	1571441811	0	18	18	18
Fri Oct 18 23:36:51 2019	1571441811	0	18	19	18
Fri Oct 18 23:36:51 2019	1571441811	1	18	19	18
Fri Oct 18 23:36:51 2019	1571441811	0	18	19	18
Fri Oct 18 23:36:51 2019	1571441811	1	19	20	19
Fri Oct 18 23:36:51 2019	1571441811	1	19	20	19
Fri Oct 18 23:36:51 2019	1571441811	1	19	20	19
Fri Oct 18 23:36:51 2019	1571441811	1	20	20	20
Fri Oct 18 23:36:51 2019	1571441811	0	20	20	20
Fri Oct 18 23:36:51 2019	1571441811	0	20	20	20
Fri Oct 18 23:36:51 2019	1571441811	1	20	20	20
Fri Oct 18 23:36:51 2019	1571441811	0	20	21	20
Fri Oct 18 23:36:51 2019	1571441811	0	20	21	20
Fri Oct 18 23:36:51 2019	1571441811	0	21	21	21
Fri Oct 18 23:36:51 2019	1571441811	0	21	21	21
Fri Oct 18 23:36:51 2019	1571441811	0	21	21	21
Fri Oct 18 23:36:51 2019	1571441811	0	21	22	21
Fri Oct 18 23:36:51 2019	1571441811	0	21	22	21
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	22	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	23	22
Fri Oct 18 23:36:51 2019	1571441811	0	22	23	22
Fri Oct 18 23:36:53 2019	1571441813	0	23	23	23
Fri Oct 18 23:36:53 2019	1571441813	0	23	23	23
Fri Oct 18 23:36:53 2019	1571441813	0	23	23	23
Fri Oct 18 23:36:53 2019	1571441813	0	23	23	23
Fri Oct 18 23:36:51 2019	1571441811	0	23	23	23
Fri Oct 18 23:36:51 2019	1571441811	0	23	23	23
Fri Oct 18 23:36:51 2019	1571441811	0	23	24	23
Fri Oct 18 23:36:51 2019	1571441811	0	23	24	23
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
Fri Oct 18 23:36:51 2019	1571441811	0	24	24	24
