starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:57 2019	1571450217	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:56 2019	1571450216	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:58 2019	1571450218	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:57 2019	1571450217	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
Sat Oct 19 01:56:55 2019	1571450215	0	31	31	31
